year,month,day,hour,Longitude,Latitude
2022,1,9,14,-122.316013,47.581923
2022,1,3,16,-122.316013,47.581902
2022,1,15,18,-122.300345,47.582626
2022,1,29,4,-122.34722,47.611768
2022,1,24,8,-122.34722,47.611768
2022,1,2,15,-122.316733,47.612889
2022,1,4,4,-122.316733,47.624484
2022,1,2,16,-122.296111,47.72792
2022,1,12,23,-122.327361,47.608409
2022,1,26,7,-122.35442,47.634057
2022,1,24,20,-122.35442,47.634057
2022,1,25,8,-122.35442,47.667143
2022,1,2,17,-122.35442,47.667143
2022,1,26,4,-122.35442,47.667143
2022,1,12,0,-122.381393,47.573138
2022,1,22,9,-122.4126,47.641684
2022,1,24,9,-122.319527,47.619107
2022,1,31,17,-122.392698,47.531494
2022,1,7,21,-122.335915,47.600593
2022,1,6,21,-122.335915,47.600593
2022,1,17,19,-122.335915,47.600593
2022,1,3,14,-122.335915,47.600593
2022,1,15,14,-122.335915,47.600593
2022,1,21,22,-122.335915,47.600593
2022,1,1,23,-122.335915,47.600591
2022,1,14,12,-122.294757,47.549742
2022,1,27,17,-122.35226,47.678728
2022,1,30,20,-122.326727,47.618583
2022,1,27,20,-122.373602,47.660893
2022,1,20,21,-122.325158,47.550568
2022,1,23,9,-122.362125,47.701698
2022,1,14,10,-122.362125,47.701698
2022,1,18,8,-122.362125,47.701698
2022,1,3,9,-122.362125,47.701698
2022,1,7,6,-122.362125,47.701698
2022,1,18,10,-122.362125,47.701698
2022,1,30,7,-122.362125,47.701698
2022,1,28,9,-122.362125,47.701698
2022,1,10,5,-122.320924,47.623129
2022,1,4,13,-122.337269,47.612717
2022,1,24,22,-122.280443,47.54742
2022,1,16,20,-122.296025,47.58101
2022,1,28,7,-122.317281,47.593765
2022,1,14,23,-122.317281,47.593217
2022,1,29,5,-122.317281,47.591454
2022,1,15,4,-122.297465,47.616593
2022,1,10,12,-122.30733,47.569313
2022,1,31,10,-122.30733,47.569313
2022,1,4,4,-122.385455,47.562472
2022,1,25,11,-122.385455,47.562472
2022,1,15,23,-122.385455,47.562472
2022,1,19,18,-122.313047,47.66667
2022,1,27,8,-122.266935,47.678769
2022,1,21,11,-122.345017,47.72686
2022,1,13,13,-122.345017,47.72686
2022,1,30,19,-122.308813,47.594031
2022,1,8,16,-122.323589,47.719734
2022,1,13,21,-122.344888,47.716696
2022,1,21,18,-122.376138,47.635953
2022,1,31,15,-122.386766,47.57126
2022,1,28,18,-122.386766,47.57126
2022,1,31,8,-122.386766,47.57126
2022,1,23,13,-122.386766,47.571227
2022,1,13,21,-122.346371,47.642066
2022,1,12,10,-122.325792,47.610052
2022,1,27,15,-122.320752,47.607218
2022,1,28,21,-122.367627,47.639597
2022,1,3,0,-122.331423,47.607817
2022,1,8,18,-122.331423,47.607817
2022,1,9,1,-122.33714,47.611397
2022,1,31,1,-122.320709,47.66409
2022,1,16,0,-122.310801,47.664946
2022,1,1,14,-122.347725,47.727791
2022,1,26,13,-122.342642,47.651291
2022,1,27,2,-122.307201,47.61682
